Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1_scen1,Load_MW_z1_scen2,Load_MW_z1_scen3,Load_MW_z2_scen1,Load_MW_z2_scen2,Load_MW_z2_scen3,Load_MW_z3_scen1,Load_MW_z3_scen2,Load_MW_z3_scen3
,,,,,,,,245,7830,8221.5,7438.5,2236,2347.8,2124.2,1067,1120.35,1013.65
,,,,,,,,246,8613,9043.65,8182.35,2459,2581.95,2336.05,1174,1232.7,1115.3
,,,,,,,,247,9991,10490.55,9491.45,2854,2996.7,2711.3,1363,1431.15,1294.85
,,,,,,,,248,10722,11258.1,10185.9,3062,3215.1,2908.9,1462,1535.1,1388.9
,,,,,,,,249,10723,11259.15,10186.85,3062,3215.1,2908.9,1462,1535.1,1388.9
,,,,,,,,250,10659,11191.95,10126.05,3044,3196.2,2891.8,1453,1525.65,1380.35
,,,,,,,,251,10621,11152.05,10089.95,3033,3184.65,2881.35,1448,1520.4,1375.6
,,,,,,,,252,10536,11062.8,10009.2,3009,3159.45,2858.55,1436,1507.8,1364.2
,,,,,,,,253,10388,10907.4,9868.6,2966,3114.3,2817.7,1416,1486.8,1345.2
,,,,,,,,254,10328,10844.4,9811.6,2950,3097.5,2802.5,1408,1478.4,1337.6
,,,,,,,,255,10230,10741.5,9718.5,2921,3067.05,2774.95,1394,1463.7,1324.3
,,,,,,,,256,10299,10813.95,9784.05,2941,3088.05,2793.95,1404,1474.2,1333.8
,,,,,,,,257,10965,11513.25,10416.75,3131,3287.55,2974.45,1495,1569.75,1420.25
,,,,,,,,258,11781,12370.05,11191.95,3365,3533.25,3196.75,1606,1686.3,1525.7
,,,,,,,,259,11737,12323.85,11150.15,3352,3519.6,3184.4,1600,1680,1520
,,,,,,,,260,11448,12020.4,10875.6,3270,3433.5,3106.5,1560,1638,1482
,,,,,,,,261,11009,11559.45,10458.55,3144,3301.2,2986.8,1501,1576.05,1425.95
,,,,,,,,262,10255,10767.75,9742.25,2929,3075.45,2782.55,1398,1467.9,1328.1
,,,,,,,,263,9275,9738.75,8811.25,2649,2781.45,2516.55,1265,1328.25,1201.75
,,,,,,,,264,8412,8832.6,7991.4,2402,2522.1,2281.9,1146,1203.3,1088.7
