Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,538,5516.5,2363.25,1579.2
,,,,,,,,539,5559.5,2382,1591.8
,,,,,,,,540,5551.5,2377.5,1589.7
,,,,,,,,541,5498,2355,1573.95
,,,,,,,,542,5460.5,2339.25,1563.45
,,,,,,,,543,5401.5,2313.75,1546.65
,,,,,,,,544,5404,2314.5,1547.7
,,,,,,,,545,5650.5,2420.25,1617
,,,,,,,,546,6009.5,2574,1720.95
,,,,,,,,547,5959.5,2553,1706.25
,,,,,,,,548,5770.5,2472,1652.7
,,,,,,,,549,5498.5,2355,1573.95
,,,,,,,,550,5098.5,2184,1459.5
,,,,,,,,551,4597,1968.75,1315.65
,,,,,,,,552,4142.5,1774.5,1186.5
,,,,,,,,553,3853.5,1650.75,1102.5
,,,,,,,,554,3670.5,1572.75,1050
,,,,,,,,555,3581,1533.75,1024.8
,,,,,,,,556,3558,1524,1018.5
,,,,,,,,557,3659.5,1567.5,1047.9
,,,,,,,,558,3997,1712.25,1144.5
,,,,,,,,559,4668.5,1999.5,1336.65
,,,,,,,,560,5039,2158.5,1442.7
,,,,,,,,561,5076.5,2175,1453.2
,,,,,,,,562,5055.5,2166,1446.9
,,,,,,,,563,5061.5,2168.25,1449
,,,,,,,,564,5040.5,2159.25,1442.7
,,,,,,,,565,4982.5,2134.5,1425.9
,,,,,,,,566,4944.5,2118.75,1415.4
,,,,,,,,567,4891.5,2095.5,1399.65
,,,,,,,,568,4895.5,2097,1401.75
