Time_Index,CT_NG,ME_NG,MA_NG,None
779,2.045,2.045,1.99,0
780,2.045,2.045,1.99,0
781,2.045,2.045,1.99,0
782,2.045,2.045,1.99,0
783,2.045,2.045,1.99,0
784,2.045,2.045,1.99,0
785,2.045,2.045,1.99,0
786,2.045,2.045,1.99,0
787,2.045,2.045,1.99,0
788,2.045,2.045,1.99,0
789,2.045,2.045,1.99,0
790,2.045,2.045,1.99,0
791,2.045,2.045,1.99,0
792,2.045,2.045,1.99,0
793,2.045,2.045,1.99,0
794,2.045,2.045,1.99,0
795,2.045,2.045,1.99,0
796,2.045,2.045,1.99,0
797,2.045,2.045,1.99,0
798,2.045,2.045,1.99,0
799,2.045,2.045,1.99,0
800,2.045,2.045,1.99,0
801,2.045,2.045,1.99,0
802,2.045,2.045,1.99,0
803,2.045,2.045,1.99,0
804,2.045,2.045,1.99,0
805,2.045,2.045,1.99,0
806,2.045,2.045,1.99,0
807,2.045,2.045,1.99,0
808,2.045,2.045,1.99,0
809,2.045,2.045,1.99,0
810,2.045,2.045,1.99,0
811,2.045,2.045,1.99,0
812,2.045,2.045,1.99,0
813,2.045,2.045,1.99,0
814,2.045,2.045,1.99,0
815,2.045,2.045,1.99,0
816,2.045,2.045,1.99,0
817,2.045,2.045,1.99,0
818,2.045,2.045,1.99,0
819,2.045,2.045,1.99,0
820,2.045,2.045,1.99,0
821,2.045,2.045,1.99,0
822,2.045,2.045,1.99,0
823,2.045,2.045,1.99,0
824,2.045,2.045,1.99,0
825,2.045,2.045,1.99,0
826,2.045,2.045,1.99,0
827,2.045,2.045,1.99,0
828,2.045,2.045,1.99,0
829,2.045,2.045,1.99,0
830,2.045,2.045,1.99,0
831,2.045,2.045,1.99,0
832,2.045,2.045,1.99,0
833,2.045,2.045,1.99,0
834,2.045,2.045,1.99,0
835,2.045,2.045,1.99,0
836,2.045,2.045,1.99,0
837,2.045,2.045,1.99,0
838,2.045,2.045,1.99,0
839,2.045,2.045,1.99,0
840,2.045,2.045,1.99,0
841,2.045,2.045,1.99,0
842,2.045,2.045,1.99,0
843,2.045,2.045,1.99,0
844,2.045,2.045,1.99,0
845,2.045,2.045,1.99,0
846,2.045,2.045,1.99,0
847,2.045,2.045,1.99,0
848,2.045,2.045,1.99,0
849,2.045,2.045,1.99,0
850,2.045,2.045,1.99,0
851,2.045,2.045,1.99,0
852,2.045,2.045,1.99,0
853,2.045,2.045,1.99,0
854,2.045,2.045,1.99,0
855,2.045,2.045,1.99,0
856,2.045,2.045,1.99,0
857,2.045,2.045,1.99,0
858,2.045,2.045,1.99,0
859,2.045,2.045,1.99,0
860,2.045,2.045,1.99,0
861,2.045,2.045,1.99,0
862,2.045,2.045,1.99,0
863,2.045,2.045,1.99,0
864,2.045,2.045,1.99,0
