Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC,Year,Hour_Index,Interior_Wind,Coastal_Wind,Solar_PV_DC,Solar_PV_AC
2020,174,0.920333333,0.217,0,0,2021,174,0.511,0.526666667,0,0,2022,174,0.897666667,0.300333333,0,0
2020,175,0.921,0.22,0,0,2021,175,0.417,0.596333333,0,0,2022,175,0.877333333,0.318666667,0,0
2020,176,0.912666667,0.234333333,0,0,2021,176,0.317666667,0.626,0,0,2022,176,0.855,0.332666667,0,0
2020,177,0.895333333,0.271,0,0,2021,177,0.235333333,0.643,0,0,2022,177,0.831666667,0.323,0,0
2020,178,0.879333333,0.311666667,0,0,2021,178,0.199333333,0.640666667,0,0,2022,178,0.807333333,0.282,0,0
2020,179,0.873,0.312,0,0,2021,179,0.194666667,0.635666667,0,0,2022,179,0.791,0.239666667,0,0
2020,180,0.872333333,0.32,0,0,2021,180,0.209666667,0.630333333,0,0,2022,180,0.774333333,0.218666667,0,0
2020,181,0.871666667,0.355333333,0,0,2021,181,0.245,0.618333333,0,0,2022,181,0.756333333,0.172,0,0
2020,182,0.873,0.404666667,0.004,0.00532,2021,182,0.294666667,0.611666667,0.004,0.00532,2022,182,0.735333333,0.131333333,0.001333333,0.001773333
2020,183,0.809,0.374,0.546,0.72618,2021,183,0.224666667,0.541,0.325,0.43225,2022,183,0.654666667,0.084333333,0.312666667,0.415846667
2020,184,0.696,0.460666667,0.738,0.970846667,2021,184,0.22,0.549333333,0.568666667,0.756326667,2022,184,0.510666667,0.105666667,0.535333333,0.711993333
2020,185,0.968666667,0.521333333,0.798666667,1,2021,185,0.207,0.450666667,0.676333333,0.899523333,2022,185,0.528666667,0.121,0.636666667,0.83829
2020,186,0.964333333,0.583333333,0.817333333,1,2021,186,0.123666667,0.329666667,0.695666667,0.90346,2022,186,0.651,0.125333333,0.638333333,0.83031
2020,187,0.965666667,0.685,0.793333333,1,2021,187,0.059333333,0.245666667,0.700333333,0.922966667,2022,187,0.692666667,0.154666667,0.641,0.84494
2020,188,0.968666667,0.752333333,0.768333333,1,2021,188,0.026,0.204,0.731,0.96863,2022,188,0.777,0.206,0.655666667,0.868436667
2020,189,0.969666667,0.809333333,0.731,0.965526667,2021,189,0.013,0.193,0.733666667,0.954886667,2022,189,0.805,0.264,0.637666667,0.848096667
2020,190,0.969666667,0.857666667,0.677666667,0.901296667,2021,190,0.008333333,0.206,0.671666667,0.893316667,2022,190,0.763333333,0.277333333,0.553333333,0.735933333
2020,191,0.971,0.872,0.497333333,0.661453333,2021,191,0.007333333,0.238666667,0.517333333,0.688053333,2022,191,0.733666667,0.258333333,0.437,0.58121
2020,192,0.971333333,0.823666667,0.127333333,0.169353333,2021,192,0.023333333,0.352333333,0.184333333,0.245163333,2022,192,0.788333333,0.248,0.201666667,0.268216667
2020,193,0.966666667,0.833666667,0,0,2021,193,0.073666667,0.478666667,0,0,2022,193,0.827666667,0.321666667,0,0
2020,194,0.967333333,0.832333333,0,0,2021,194,0.12,0.523666667,0,0,2022,194,0.861333333,0.431,0,0
2020,195,0.970666667,0.861666667,0,0,2021,195,0.124666667,0.539,0,0,2022,195,0.895666667,0.491,0,0
2020,196,0.973,0.877,0,0,2021,196,0.105,0.53,0,0,2022,196,0.922333333,0.536666667,0,0
