Time_Index,None,waste_biomass,west_south_central_coal,west_south_central_naturalgas,west_south_central_uranium,west_south_central_distillate
398,0.0,1.0,1.86,2.85,0.69,17.96
399,0.0,1.0,1.86,2.85,0.69,17.96
400,0.0,1.0,1.86,2.85,0.69,17.96
401,0.0,1.0,1.86,2.85,0.69,17.96
402,0.0,1.0,1.86,2.85,0.69,17.96
403,0.0,1.0,1.86,2.85,0.69,17.96
404,0.0,1.0,1.86,2.85,0.69,17.96
405,0.0,1.0,1.86,2.85,0.69,17.96
406,0.0,1.0,1.86,2.85,0.69,17.96
407,0.0,1.0,1.86,2.85,0.69,17.96
408,0.0,1.0,1.86,2.85,0.69,17.96
409,0.0,1.0,1.86,2.85,0.69,17.96
410,0.0,1.0,1.86,2.85,0.69,17.96
411,0.0,1.0,1.86,2.85,0.69,17.96
412,0.0,1.0,1.86,2.85,0.69,17.96
413,0.0,1.0,1.86,2.85,0.69,17.96
414,0.0,1.0,1.86,2.85,0.69,17.96
415,0.0,1.0,1.86,2.85,0.69,17.96
416,0.0,1.0,1.86,2.85,0.69,17.96
417,0.0,1.0,1.86,2.85,0.69,17.96
418,0.0,1.0,1.86,2.85,0.69,17.96
419,0.0,1.0,1.86,2.85,0.69,17.96
420,0.0,1.0,1.86,2.85,0.69,17.96
421,0.0,1.0,1.86,2.85,0.69,17.96
422,0.0,1.0,1.86,2.85,0.69,17.96
423,0.0,1.0,1.86,2.85,0.69,17.96
424,0.0,1.0,1.86,2.85,0.69,17.96
425,0.0,1.0,1.86,2.85,0.69,17.96
426,0.0,1.0,1.86,2.85,0.69,17.96
427,0.0,1.0,1.86,2.85,0.69,17.96
428,0.0,1.0,1.86,2.85,0.69,17.96
429,0.0,1.0,1.86,2.85,0.69,17.96
430,0.0,1.0,1.86,2.85,0.69,17.96
431,0.0,1.0,1.86,2.85,0.69,17.96
432,0.0,1.0,1.86,2.85,0.69,17.96
433,0.0,1.0,1.86,2.85,0.69,17.96
434,0.0,1.0,1.86,2.85,0.69,17.96
435,0.0,1.0,1.86,2.85,0.69,17.96
436,0.0,1.0,1.86,2.85,0.69,17.96
437,0.0,1.0,1.86,2.85,0.69,17.96
438,0.0,1.0,1.86,2.85,0.69,17.96
439,0.0,1.0,1.86,2.85,0.69,17.96
440,0.0,1.0,1.86,2.85,0.69,17.96
441,0.0,1.0,1.86,2.85,0.69,17.96
442,0.0,1.0,1.86,2.85,0.69,17.96
443,0.0,1.0,1.86,2.85,0.69,17.96
444,0.0,1.0,1.86,2.85,0.69,17.96
445,0.0,1.0,1.86,2.85,0.69,17.96
446,0.0,1.0,1.86,2.85,0.69,17.96
447,0.0,1.0,1.86,2.85,0.69,17.96
448,0.0,1.0,1.86,2.85,0.69,17.96
449,0.0,1.0,1.86,2.85,0.69,17.96
450,0.0,1.0,1.86,2.85,0.69,17.96
451,0.0,1.0,1.86,2.85,0.69,17.96
452,0.0,1.0,1.86,2.85,0.69,17.96
453,0.0,1.0,1.86,2.85,0.69,17.96
454,0.0,1.0,1.86,2.85,0.69,17.96
455,0.0,1.0,1.86,2.85,0.69,17.96
456,0.0,1.0,1.86,2.85,0.69,17.96
457,0.0,1.0,1.86,2.85,0.69,17.96
458,0.0,1.0,1.86,2.85,0.69,17.96
459,0.0,1.0,1.86,2.85,0.69,17.96
460,0.0,1.0,1.86,2.85,0.69,17.96
461,0.0,1.0,1.86,2.85,0.69,17.96
462,0.0,1.0,1.86,2.85,0.69,17.96
463,0.0,1.0,1.86,2.85,0.69,17.96
464,0.0,1.0,1.86,2.85,0.69,17.96
465,0.0,1.0,1.86,2.85,0.69,17.96
466,0.0,1.0,1.86,2.85,0.69,17.96
467,0.0,1.0,1.86,2.85,0.69,17.96
468,0.0,1.0,1.86,2.85,0.69,17.96
469,0.0,1.0,1.86,2.85,0.69,17.96
470,0.0,1.0,1.86,2.85,0.69,17.96
471,0.0,1.0,1.86,2.85,0.69,17.96
472,0.0,1.0,1.86,2.85,0.69,17.96
473,0.0,1.0,1.86,2.85,0.69,17.96
474,0.0,1.0,1.86,2.85,0.69,17.96
475,0.0,1.0,1.86,2.85,0.69,17.96
476,0.0,1.0,1.86,2.85,0.69,17.96
477,0.0,1.0,1.86,2.85,0.69,17.96
478,0.0,1.0,1.86,2.85,0.69,17.96
479,0.0,1.0,1.86,2.85,0.69,17.96
480,0.0,1.0,1.86,2.85,0.69,17.96
